Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,CIK
EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",712515
EMR,Emerson Electric Company,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",32604
ETR,Entergy Corp.,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",65984
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",821189
EFX,Equifax Inc.,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",33185
EQIX,Equinix,reports,Real Estate,Specialized REITs,"Redwood City, California",1101239
EQR,Equity Residential,reports,Real Estate,Residential REITs,"Chicago, Illinois",906107
ESS,"Essex Property Trust, Inc.",reports,Real Estate,Residential REITs,"Palo Alto, California",920522
EL,Estee Lauder Cos.,reports,Consumer Staples,Personal Products,"New York, New York",1001250
EVRG,Evergy,reports,Utilities,Electric Utilities,"Kansas City, Missouri",1711269
ES,Eversource Energy,reports,Utilities,Multi-Utilities,"Springfield, Massachusetts",72741
RE,Everest Re Group Ltd.,reports,Financials,Reinsurance,"Hamilton, Bermuda",1095073
EXC,Exelon Corp.,reports,Utilities,Multi-Utilities,"Chicago, Illinois",1109357
EXPE,Expedia Group,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",1324424
EXPD,Expeditors,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",746515
EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",1289490
XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,"Irving, Texas",34088
FFIV,F5 Networks,reports,Information Technology,Communications Equipment,"Seattle, Washington",1048695
FB,"Facebook, Inc.",reports,Communication Services,Interactive Media & Services,"Menlo Park, California",1326801
FAST,Fastenal Co,reports,Industrials,Building Products,"Winona, Minnesota",815556
FRT,Federal Realty Investment Trust,reports,Real Estate,Retail REITs,"Rockville, Maryland",34903
FDX,FedEx Corporation,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1048911
FIS,Fidelity National Information Services,reports,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",1136893
FITB,Fifth Third Bancorp,reports,Financials,Regional Banks,"Cincinnati, Ohio",35527
FE,FirstEnergy Corp,reports,Utilities,Electric Utilities,"Akron, Ohio",1031296
FRC,First Republic Bank,reports,Financials,Regional Banks,"San Francisco, California",1132979
FISV,Fiserv Inc,reports,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",798354
FLT,FleetCor Technologies Inc,reports,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",1175454
FLIR,FLIR Systems,reports,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",354908
FLS,Flowserve Corporation,reports,Industrials,Industrial Machinery,"Irving, Texas",30625
FMC,FMC Corporation,reports,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",37785
F,Ford Motor,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",37996
FTNT,Fortinet,reports,Information Technology,Systems Software,"Sunnyvale, California",1262039
FTV,Fortive Corp,reports,Industrials,Industrial Machinery,"Everett, Washington",1659166
FBHS,Fortune Brands Home & Security,reports,Industrials,Building Products,"Deerfield, Illinois",1519751
FOXA,Fox Corporation Class A,reports,Communication Services,Movies & Entertainment,"New York, New York",1308161
FOX,Fox Corporation Class B,reports,Communication Services,Movies & Entertainment,"New York, New York",1308161
BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",38777
FCX,Freeport-McMoRan Inc.,reports,Materials,Copper,"Phoenix, Arizona",831259
GPS,Gap Inc.,reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",39911
GRMN,Garmin Ltd.,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",1121788
IT,Gartner Inc,reports,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",749251
GD,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",40533
GE,General Electric,reports,Industrials,Industrial Conglomerates,"Boston, Massachusetts",40545
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",40704
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",1467858
GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",40987
GILD,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California",882095
GL,Globe Life Inc.,reports,Financials,Life & Health Insurance,"McKinney, Texas",320335
GPN,Global Payments Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",1123360
GS,Goldman Sachs Group,reports,Financials,Investment Banking & Brokerage,"New York, New York",886982
GWW,Grainger (W.W.) Inc.,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",277135
HRB,H&R Block,reports,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",12659
HAL,Halliburton Co.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",45012
HBI,Hanesbrands Inc,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",1359841
HOG,Harley-Davidson,reports,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",793952
HIG,Hartford Financial Svc.Gp.,reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",874766
HAS,Hasbro Inc.,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",46080
HCA,HCA Healthcare,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",860730
PEAK,Healthpeak Properties,reports,Real Estate,Health Care REITs,"Long Beach, California",765880
HP,Helmerich & Payne,reports,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",46765
HSIC,Henry Schein,reports,Health Care,Health Care Distributors,"Melville, New York",1000228
HSY,The Hershey Company,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",47111
HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,"New York, New York",4447
HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1645590
HLT,Hilton Worldwide Holdings Inc,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",1585689
HFC,HollyFrontier Corp,reports,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",48039
HOLX,Hologic,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",859737
HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",354950
HON,Honeywell Int'l Inc.,reports,Industrials,Industrial Conglomerates,"Morristown, New Jersey",773840
HRL,Hormel Foods Corp.,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",48465
HST,Host Hotels & Resorts,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",1070750
HPQ,HP Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",47217
HUM,Humana Inc.,reports,Health Care,Managed Health Care,"Louisville, Kentucky",49071
HBAN,Huntington Bancshares,reports,Financials,Regional Banks,"Columbus, Ohio",49196
HII,Huntington Ingalls Industries,reports,Industrials,Aerospace & Defense,"Newport News, Virginia",1501585
IEX,IDEX Corporation,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",832101
IDXX,IDEXX Laboratories,reports,Health Care,Health Care Equipment,"Westbrook, Maine",874716
INFO,IHS Markit Ltd.,reports,Industrials,Research & Consulting Services,"London, United Kingdom",1598014
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",49826
ILMN,Illumina Inc,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",1110803
IR,Ingersoll-Rand PLC,reports,Industrials,Industrial Machinery,"Dublin, Ireland",1466258
INTC,Intel Corp.,reports,Information Technology,Semiconductors,"Santa Clara, California",50863
ICE,Intercontinental Exchange,reports,Financials,Financial Exchanges & Data,"Atlanta, Georgia",1571949
IBM,International Business Machines,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",51143
INCY,Incyte,reports,Health Care,Biotechnology,"Wilmington, Delaware",879169
IP,International Paper,reports,Materials,Paper Packaging,"Memphis, Tennessee",51434
IPG,Interpublic Group,reports,Communication Services,Advertising,"New York, New York",51644
IFF,Intl Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York, New York",51253
INTU,Intuit Inc.,reports,Information Technology,Application Software,"Mountain View, California",896878
ISRG,Intuitive Surgical Inc.,reports,Health Care,Health Care Equipment,"Sunnyvale, California",1035267
IVZ,Invesco Ltd.,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",914208
IPGP,IPG Photonics Corp.,reports,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",1111928
IQV,IQVIA Holdings Inc.,reports,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",1478242
IRM,Iron Mountain Incorporated,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",1020569
JKHY,Jack Henry & Associates,reports,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",779152
J,Jacobs Engineering Group,reports,Industrials,Construction & Engineering,"Pasadena, California",52988
JBHT,J. B. Hunt Transport Services,reports,Industrials,Trucking,"Lowell, Arkansas",728535
SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",91419
JNJ,Johnson & Johnson,reports,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",200406
JCI,Johnson Controls International,reports,Industrials,Building Products,"Cork, Ireland",833444
JPM,JPMorgan Chase & Co.,reports,Financials,Diversified Banks,"New York, New York",19617
JNPR,Juniper Networks,reports,Information Technology,Communications Equipment,"Sunnyvale, California",1043604
KSU,Kansas City Southern,reports,Industrials,Railroads,"Kansas City, Missouri",54480
K,Kellogg Co.,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",55067
KEY,KeyCorp,reports,Financials,Regional Banks,"Cleveland, Ohio",91576
KEYS,Keysight Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",1601046
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",55785
KIM,Kimco Realty,reports,Real Estate,Retail REITs,"New Hyde Park, New York",879101
KMI,Kinder Morgan,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",1506307
KLAC,KLA Corporation,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",319201
KSS,Kohl's Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",885639
KHC,Kraft Heinz Co,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",1637459
KR,Kroger Co.,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",56873
LB,L Brands Inc.,reports,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",701985
LHX,L3Harris Technologies,reports,Industrials,Aerospace & Defense,"Melbourne, Florida",202058
LH,Laboratory Corp. of America Holding,reports,Health Care,Health Care Services,"Burlington, North Carolina",920148
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",707549
LW,Lamb Weston Holdings Inc,reports,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",1679273
LVS,Las Vegas Sands,reports,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",1300514
LEG,Leggett & Platt,reports,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",58492
LDOS,Leidos Holdings,reports,Information Technology,IT Consulting & Other Services,"Reston, Virginia",1336920
LEN,Lennar Corp.,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",920760
LLY,Lilly (Eli) & Co.,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",59478
LNC,Lincoln National,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",59558
LIN,Linde plc,reports,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",1707925
LYV,Live Nation Entertainment,reports,Communication Services,Movies & Entertainment,"Beverly Hills, California",1335258
LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",1065696
LMT,Lockheed Martin Corp.,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",936468
L,Loews Corp.,reports,Financials,Multi-line Insurance,"New York, New York",60086
LOW,Lowe's Cos.,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",60667
LYB,LyondellBasell,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",1489393
MTB,M&T Bank Corp.,reports,Financials,Regional Banks,"Buffalo, New York",36270
M,Macy's Inc.,reports,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",794367
MRO,Marathon Oil Corp.,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",101778
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",1510295
MKTX,MarketAxess,reports,Financials,Financial Exchanges & Data,"New York, New York",1278021
MAR,Marriott Int'l.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1048286
MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,"New York, New York",62709
MLM,Martin Marietta Materials,reports,Materials,Construction Materials,"Raleigh, North Carolina",916076
MAS,Masco Corp.,reports,Industrials,Building Products,"Taylor, Michigan",62996
MA,Mastercard Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",1141391
MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",63754
MXIM,Maxim Integrated Products Inc,reports,Information Technology,Semiconductors,"San Jose, California",743316
MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,"Chicago, Illinois",63908
MCK,McKesson Corp.,reports,Health Care,Health Care Distributors,"Irving, Texas",927653
MDT,Medtronic plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",1613103
MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",310158
MET,MetLife Inc.,reports,Financials,Life & Health Insurance,"New York, New York",1099219
MTD,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",1037646
MGM,MGM Resorts International,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",789570
MCHP,Microchip Technology,reports,Information Technology,Semiconductors,"Chandler, Arizona",827054
MU,Micron Technology,reports,Information Technology,Semiconductors,"Boise, Idaho",723125
MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,"Redmond, Washington",789019
MAA,Mid-America Apartments,reports,Real Estate,Residential REITs,"Memphis, Tennessee",912595
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",851968
TAP,Molson Coors Brewing Company,reports,Consumer Staples,Brewers,"Denver, Colorado",24545
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,"Deerfield, Illinois",1103982
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,"Corona, California",865752
MCO,Moody's Corp,reports,Financials,Financial Exchanges & Data,"New York, New York",1059556
MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,"New York, New York",895421
MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",1285785
MSI,Motorola Solutions Inc.,reports,Information Technology,Communications Equipment,"Schaumburg, Illinois",68505
MSCI,MSCI Inc,reports,Financials,Financial Exchanges & Data,"New York, New York",1408198
MYL,Mylan N.V.,reports,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",1623613
NDAQ,"Nasdaq, Inc.",reports,Financials,Financial Exchanges & Data,"New York, New York",1120193
NOV,National Oilwell Varco Inc.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1021860
NTAP,NetApp,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",1002047
NFLX,Netflix Inc.,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",1065280
NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,"Hoboken, New Jersey",814453
NEM,Newmont Goldcorp,reports,Materials,Gold,"Denver, Colorado",1164727
NWSA,News Corp. Class A,reports,Communication Services,Publishing,"New York, New York",1564708
NWS,News Corp. Class B,reports,Communication Services,Publishing,"New York, New York",1564708
NEE,NextEra Energy,reports,Utilities,Multi-Utilities,"Juno Beach, Florida",753308
NLSN,Nielsen Holdings,reports,Industrials,Research & Consulting Services,"New York, New York",1492633
NKE,Nike,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",320187
NI,NiSource Inc.,reports,Utilities,Multi-Utilities,"Merrillville, Indiana",1111711
NBL,Noble Energy Inc,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",72207
JWN,Nordstrom,reports,Consumer Discretionary,Department Stores,"Seattle, Washington",72333
NSC,Norfolk Southern Corp.,reports,Industrials,Railroads,"Norfolk, Virginia",702165
NTRS,Northern Trust Corp.,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois",73124
NOC,Northrop Grumman,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1133421
NLOK,NortonLifeLock,reports,Information Technology,Application Software,"Tempe, Arizona",849399
NCLH,Norwegian Cruise Line Holdings,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1513761
NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",1013871
NUE,Nucor Corp.,reports,Materials,Steel,"Charlotte, North Carolina",73309
NVDA,Nvidia Corporation,reports,Information Technology,Semiconductors,"Santa Clara, California",1045810
NVR,NVR Inc,reports,Consumer Discretionary,Homebuilding,"Reston, VA",906163
ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",898173
OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",797468
ODFL,Old Dominion Freight Line,reports,Industrials,Trucking,"Thomasville, North Carolina",878927
OMC,Omnicom Group,reports,Communication Services,Advertising,"New York, New York",29989
OKE,ONEOK,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1039684
ORCL,Oracle Corp.,reports,Information Technology,Application Software,"Redwood Shores, California",1341439
PCAR,PACCAR Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",75362
PKG,Packaging Corporation of America,reports,Materials,Paper Packaging,"Lake Forest, Illinois",75677
PH,Parker-Hannifin,reports,Industrials,Industrial Machinery,"Cleveland, Ohio",76334
PAYX,Paychex Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",723531
PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",1633917
PNR,Pentair plc,reports,Industrials,Industrial Machinery,"Worsley, UK",77360
PBCT,People's United Financial,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",1378946
PEP,PepsiCo Inc.,reports,Consumer Staples,Soft Drinks,"Purchase, New York",77476
PKI,PerkinElmer,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",31791
PRGO,Perrigo,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",1585364
PFE,Pfizer Inc.,reports,Health Care,Pharmaceuticals,"New York, New York",78003
PM,Philip Morris International,reports,Consumer Staples,Tobacco,"New York, New York",1413329
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",1534701
PNW,Pinnacle West Capital,reports,Utilities,Multi-Utilities,"Phoenix, Arizona",764622
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",1038357
PNC,PNC Financial Services,reports,Financials,Regional Banks,"Pittsburgh, Pennsylvania",713676
PPG,PPG Industries,reports,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",79879
PPL,PPL Corp.,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",922224
PFG,Principal Financial Group,reports,Financials,Life & Health Insurance,"Des Moines, Iowa",1126328
PG,Procter & Gamble,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",80424
PGR,Progressive Corp.,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",80661
PLD,Prologis,reports,Real Estate,Industrial REITs,"San Francisco, California",1045609
PRU,Prudential Financial,reports,Financials,Life & Health Insurance,"Newark, New Jersey",1137774
PEG,Public Serv. Enterprise Inc.,reports,Utilities,Electric Utilities,"Newark, New Jersey",788784
PSA,Public Storage,reports,Real Estate,Specialized REITs,"Glendale, California",1393311
PHM,Pulte Homes Inc.,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",822416
PVH,PVH Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",78239
QRVO,Qorvo,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",1604778
PWR,Quanta Services Inc.,reports,Industrials,Construction & Engineering,"Houston, Texas",1050915
